Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
https://registry.gdi-de.org/id/de.ni.mu/10257673950,DE.EEA/DE1054.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-314000-300-0056832,DE.EEA/DE0073.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-315000-300-0923949,DE.EEA/DE0590.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-366044-300-0079450,DE.EEA/DE5005.FACILITY
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-915000-900-0079017,DE.EEA/DE0245.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/60015149,DE.EEA/DE0193.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/60015248,DE.EEA/DE0206.FACILITY
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/80011256,DE.EEA/DE0009.FACILITY
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100609,DE.EEA/DE0021.FACILITY
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100850,DE.EEA/DE0061.FACILITY
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/30012746,DE.EEA/DE0506.FACILITY
